,title,company,description,location,state,salary,jobtype,skill,degree
0,Data Analyst, Ampcus Inc ,"Hello,   Greetings from Ampcus Inc. Ampcus is a technology services consulting company. Ampcus Inc. is a Global leader in end-to-end IT   BACHELOR  ness Solutions and Services with latest technologies. We are listed among the top 50 fastest growing companies in USA. We work closely with our clients for Talent acquisition.  We are looking for an Principal-Pred/Pres Analytics. This is 6+ months Position. Your resume is a very good match for this opportunity, please review the job description below and ple"," Ampcus Inc  Alpharetta, GA, USA",GA,,,,BACHELOR
1,Data Scientist, Horn Solutions Inc. ,Horn Solutions has partnered with a client in search of a talented Data Science Engineer to join their team for a new data project where they will be standing up their Data Science environment from scratch. This client is located in Las Colinas and the position will be partially on site. The Position:  We are looking for an experienced data engineer to join our team. You will use various methods to transform raw data into useful data systems. The ideal candidate should have strong analytical ski," Horn Solutions Inc.  Irving, TX, USA",TX,,,,
2,Data Analyst, comScore ,"May 14, 2021  Manager, Data Science, Analytics Job Description  Job Title: Manager, Data Science, Analytics Location: Reston, VA About this Role: This position draws on expertise in analysis, big data, and operations to manage and improve the processes that produce Comscore's cross-platform, digital, and television audience data. Clients around the globe rely on this information to shape   BACHELOR  ness strategies and fuel advertisement buying and selling. This dedicated leader motivates staff and coll"," comScore  Reston, VA, USA",VA,,,,BACHELOR
3,Data Analyst, SAIC ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data VISUALIZATION Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data VISUALIZATION and analysis. We are a team of ""doers"" with a   BACHELOR   towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," SAIC  Austin, TX, USA",TX,,,VISUALIZATION,BACHELOR
4,Data Analyst, SAIC ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data VISUALIZATION Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data VISUALIZATION and analysis. We are a team of ""doers"" with a   BACHELOR   towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," SAIC  JBSA Randolph, TX, USA",TX,,,VISUALIZATION,BACHELOR
5,Data Analyst, SAIC ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data VISUALIZATION Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data VISUALIZATION and analysis. We are a team of ""doers"" with a   BACHELOR   towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," SAIC  Huntsville, AL, USA",AL,,,VISUALIZATION,BACHELOR
6,Data Engineer, Infinity Tech Group Inc ,"Position: Data Engineer Location: NY OR Charlotte, NC (Remote till Covid)  Duration: 9 to 12 months contract   Must have extensive hands on experience in designing, developing, and maintaining software solutions in Big Data and Data Science PlatformsExperience building E2E Data Science using Streaming and Big Data platformHands on experience on implementing  CI/CD using the Atlassian ecosystemExtensive hands on experience in designing, developing, and maintaining software frameworks using Kafka,"," Infinity Tech Group Inc  Charlotte, NC, USA",NC,,,,
7,Data Analyst, Discover ,"Discover. A brighter future. With us, you'll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it - we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine. Come build your future, while being the reason millions of people find a brighter financial future "," Discover  Riverwoods, IL, USA",IL,,,,
8,Data Scientist, Corus Consulting ,"We are looking for candidates that are able to manage Data without supervision, with high attention to details, with a LOGICAL approach and DATA modeling management experience.   Scorecard development would be a PLUS.   Languages: SQL, PYTHON R and SAS.     Job Information Job Title: Sr. Associate, Risk Modeling/Data Science Job Code:   Job Family: Risk Job Function: Risk Management Job Family Description: Monitors activities to minimize the company's exposure to risk. Activities may include qu"," Corus Consulting  Dallas, TX, USA",TX,,,"PYTHON,R",
10,Data Analyst, DISQO ,"DISQO is changing the way that the world's largest   BACHELOR  ds, agencies and consumer intelligence companies get to know their consumers. We've built the first identity-  BACHELOR  d platform that combines consumer attitudes and behaviors together to power the most accurate and predictive insights solutions for our customers, and we do all of that with the willing participation of our consumers and without using outdated technologies like third-party cookies. We help our customers get a cross-platform view i"," DISQO  Glendale, CA, USA",CA,,,,BACHELOR
11,Data Engineer, OMG Technologies ,"Role: Data Science/Data Engineering Consultant with Strong Pharmaceutical Commercial Data Experience  We are looking to hire a consultant with the below skills set and experience for one of our clients within the Pharmaceutical industry, a major pharmaceutical company. This is 6-months Contract opportunity with a potential to get extended or hired at the end of the contracting period. Interested candidates may share updated resume to Carolina - OMG Technologies.com *Ideal Candidate is an establi"," OMG Technologies  Princeton, NJ, USA",NJ,,,,
12,Data Analyst, TransUnion ,"What We'll Bring: At TransUnion, we have a welcoming and energetic environment that encourages collaboration and innovation.  We are consistently exploring new technologies and tools to be agile. This environment gives our people the opportunity to hone current skills and build new capabilities, while discovering their genius. Come be a part of our team - you'll work with great people, pioneering products and cutting-edge technology.  Protecting the health and wellness of our associates and cand"," TransUnion  Chicago, IL, USA",IL,,,,
14,Data Analyst, Fiserv ,"Technology Analyst Program - Cyber, Infrastructure, Data Science, IT Project Management -Alpharetta / Marietta Fiserv's Technology Analyst Program is an early career development program where candidates experience two one-year assignments in a core functional technology role. Each assignment builds upon the other and together will provide a breadth of experience in the   BACHELOR  ness world and unique to you! We are looking for university graduates with drive, passion, and an evolving target for their "," Fiserv  Alpharetta, GA, USA",GA,,,,BACHELOR
15,Data Scientist, Wizard Tech Solutions Inc ,"Some examples of what you'll be doing: Develop strong collaborative partnerships with   BACHELOR  ness and operations leadersUse compelling data, deep   BACHELOR  ness acumen and exceptional communication to drive   BACHELOR  ness strategy and executionIdentify   BACHELOR  ness challenges, performance bottlenecks and growth opportunitiesConduct insightful analyses on major trends, thinking 3 steps ahead to guide emerging strategyPropose rapid experiments to test the effect of new strategies or initiatives, and iterate quicklyC"," Wizard Tech Solutions Inc  Austin, TX, USA",TX,,,,BACHELOR
16,Data Scientist, comScore ,"April 15, 2021  Data Scientist, Panel Science Job Description  Job Title: Data Scientist, Panel Science Location:  Chicago, IL  About this Role: Comscore is a leading big data technology company that measures what matters to make cross-platform audiences and advertising more valuable. We are seeking a Data Scientist, Panel Science to mine our large-scale global consumer panel data sets and provide insights to help inform our methodologies and data insights around the world. The Data Scientist wi"," comScore  Chicago, IL, USA",IL,,,,
17,Data Analyst, Deloitte ,"Life Sciences Manager - Data Analytics  Work you'll do  A Manager at Deloitte will manage and deliver components of client engagements that design and implement technology-  BACHELOR  d   BACHELOR  ness solutions for large multi-national organizations. Key responsibilities will include:  Manage teams in the identification of   BACHELOR  ness requirements, functional design, process design (including scenario design, flow mapping), prototyping, testing, training, defining support procedures.Formulate planning, budgeting"," Deloitte  Los Angeles, CA, USA",CA,,,,BACHELOR
18,Data Analyst,ACI Federal™,5+ years data science analyst experience. Creating and editing/updating data scripts using R for use by TIU. Cyber Threat Intelligence Analysis and Reporting.,"Falls Church, VA",VA,$39.38 an hour,,R,
19,Data Scientist,"Forward Air, Inc.",Present information using data VISUALIZATION techniques. Work with stakeholders throughout the organization to identify opportunities for leveraging company…,"Forest Park, GA +1 location",GA,"$85,000 - $120,000 a year",,VISUALIZATION,
20,Data Scientist,Permanent General Assurance Corp.,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.","Nashville, TN",TN,"$76,440 a year",,,
21,Data Analyst,Nova Collective,"Working with raw survey data to produce clean data sets for analysis and reporting. Do you bring a strong background in survey data principles, such as:","Chicago, IL",IL,$30 - $35 an hour,,,
22,Data Analyst,Quality Built,"Support the design of end-to-end data VISUALIZATIONs/Reporting solutions, from data extraction to the presentation, to address the clients’ needs.","Denver, CO +4 locations",CO,"$65,000 - $80,000 a year",,,
23,Data Engineer,Central Intelligence Agency,"Work experience related to data engineering, information, and data management. Data Engineers work with data consumers to create and populate optimal data…","Washington, DC",DC,"$64,137 - $159,286 a year",,,
24,Data Analyst,Atlas Executive Consulting,"User interface design and prototyping data VISUALIZATIONs. 4 years of experience developing, implementing, and supporting the usage of data VISUALIZATION…","North Charleston, SC +1 location",SC,"$95,000 a year",,,
25,Data Scientist,Millennium Software Solutions,"Clustering of mixed event, real time data in order to determine clear operating regimes. The event data is process alarms from a refinery, chemical plant or…","West Kingston, RI",RI,$70 - $75 an hour,,,
26,Data Analyst,Intellisoft Inc,"Conduct data quality assurance activities, including the identification and resolution of data errors. MASTER  Degree or higher in STATISTICSs, data science,…","Atlanta, GA",GA,$55 - $65 an hour,,,MASTER
27,Data Scientist,GovStrive LLC,"Support the collection, preparation, and management of client data and publicly available datasets such as the Federal Employee.","Dublin, GA",GA,,,,
28,Data Scientist,University of Maryland,"Experience querying data  BACHELOR  s and large data sets to combine and manipulate data (e.g., import data, assess missingness, filter, transform variables, derive…","College Park, MD",MD,,,,BACHELOR
29,Data Scientist,Tekshapers Inc,"Experience with building/tuning models inferencing against time series data. To create all quality documents, collect metrics data and conducting Audits.","Rahway, NJ",NJ,$60 - $65 an hour,,,
30,Data Scientist,"Continental Finance Company, LLC",Creating complex data VISUALIZATIONs in VISUALIZATION. Creating complex custom data queries in SQL. Creating complex data models in SAS or R or PYTHON.,"Wilmington, DE",DE,"$80,000 - $100,000 a year",,R,
31,Data Scientist,Delaware Nation Industries,Work with social science researchers to identify relevant data needs for policy-oriented research purposes. Contribute to and help maintain data structure for a…,"Washington, DC +1 location",DC,"$130,000 - $140,000 a year",,,
32,Data Scientist,FinTek Solutions LLC,"8+ years of OR, STATISTICSal or data mining algorithm development experience, including 5+ years of AI/ML development experience for real-world applications.","Atlanta, GA",GA,$45 - $50 an hour,,,
33,Data Analyst,Quizlet,"You will be the owner and expert of subscriptions data, enabling you to identify new high-value opportunities, analyze A/B test experiments, recommend data…","San Francisco, CA",CA,,,,
34,Data Scientist,PrimeNeuro,"  PHD  .  MASTER ’s in data science, bioinformatics, or a closely related field or   BACHELOR   with 3-5 years of post-degree work experience.","Durham, NC +3 locations",NC,"$95,000 - $105,000 a year",,,"PHD,BACHELOR,MASTER"
35,Data Engineer,Awning,"Integrate third-party data sources with our data infrastructure. You'll also support with data science, ML, and engineering work we do.","San Francisco, CA",CA,,,,
