,Unnamed: 0,title,company,description,location,state,salary,jobtype,skill,degree
3,3,Data Analyst, SAIC ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data VISUALIZATION Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data VISUALIZATION and analysis. We are a team of ""doers"" with a   BACHELOR   towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," SAIC  Austin, TX, USA",TX,,,VISUALIZATION,BACHELOR
4,4,Data Analyst, SAIC ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data VISUALIZATION Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data VISUALIZATION and analysis. We are a team of ""doers"" with a   BACHELOR   towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," SAIC  JBSA Randolph, TX, USA",TX,,,VISUALIZATION,BACHELOR
5,5,Data Analyst, SAIC ,"Description JOB DESCRIPTION: The Pilot Training Next (PTN) contract is seeking a Data VISUALIZATION Specialist to support the data analysis and reporting capability for the Air Education and Training Command within the United States Air Force. The team is seeking a motivated individual with a background in data VISUALIZATION and analysis. We are a team of ""doers"" with a   BACHELOR   towards action and have a proven track record of implementing innovative technology solutions to solve complex challenges."," SAIC  Huntsville, AL, USA",AL,,,VISUALIZATION,BACHELOR
8,8,Data Scientist, Corus Consulting ,"We are looking for candidates that are able to manage Data without supervision, with high attention to details, with a LOGICAL approach and DATA modeling management experience.   Scorecard development would be a PLUS.   Languages: SQL, PYTHON R and SAS.     Job Information Job Title: Sr. Associate, Risk Modeling/Data Science Job Code:   Job Family: Risk Job Function: Risk Management Job Family Description: Monitors activities to minimize the company's exposure to risk. Activities may include qu"," Corus Consulting  Dallas, TX, USA",TX,,,"PYTHON,R",
16,18,Data Analyst,ACI Federal™,5+ years data science analyst experience. Creating and editing/updating data scripts using R for use by TIU. Cyber Threat Intelligence Analysis and Reporting.,"Falls Church, VA",VA,$39.38 an hour,,R,
17,19,Data Scientist,"Forward Air, Inc.",Present information using data VISUALIZATION techniques. Work with stakeholders throughout the organization to identify opportunities for leveraging company…,"Forest Park, GA +1 location",GA,"$85,000 - $120,000 a year",,VISUALIZATION,
28,30,Data Scientist,"Continental Finance Company, LLC",Creating complex data VISUALIZATIONs in VISUALIZATION. Creating complex custom data queries in SQL. Creating complex data models in SAS or R or PYTHON.,"Wilmington, DE",DE,"$80,000 - $100,000 a year",,R,
35,37,Data Analyst,Tampa Bay Rays,Our R&D group helps shape the   BACHELOR  ball Operations decision-making processes through the analysis and interpretation of data. Experience with R or PYTHON.,"Saint Petersburg, FL",FL,,,R,BACHELOR
54,56,Data Analyst,The New York Times,Democratize data and insights through skillful data structuring and use of VISUALIZATION tools. Collaborate with data science and tech to bring to life new…,"New York, NY",NY,,,VISUALIZATION,
63,65,Data Analyst,"Decision Information Resources, Inc","Master’s degree with coursework in data analysis or data science. Additionally, the ability to set up a platform for data VISUALIZATION is preferred.","Washington, DC",DC,"$65,000 - $80,000 a year",,VISUALIZATION,
72,74,Data Scientist,EchoStar,Develop custom ML data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,"Germantown, MD",MD,,,ML,
76,78,Data Analyst,Florida Blue,"Intermediate Excel skills Desire to continue to improve computational, STATISTICSal, behavioral and data science skills. Knowledge of R is a plus.",United States,US National,,,R,
89,91,Data Analyst,"Majestic Steel USA, Inc.","Design, build and validate data models in BI platform. Work with DBA’s to construct architectural data solutions. Skilled in SQL and relational data  BACHELOR  s.","Pepper Pike, OH",OH,,,SQL,BACHELOR
95,97,Data Analyst,Infectious Disease Connect,Identify data sources needed to produce required data sets or reports and extract appropriate subsets of data. Proficient in SQL and custom queries.,"Cranberry Township, PA",PA,"$75,000 - $100,000 a year",,SQL,
97,99,Data Engineer,Braintrust,"Experience working with event data in a data lake. A self-service tool that allows data scientists, data engineers, and ML engineers on the Marketing Data…","San Francisco, CA",CA,$100 - $120 an hour,,ML,
98,100,Data Analyst,TheGuarantors,Experience with data science or ML a plus. Design and develop data VISUALIZATION and VISUALIZATIONs to increase access to data within the organization…,"New York, NY",NY,,,"VISUALIZATION,ML",
118,120,Data Scientist,"Knowesis, Inc.",Enter and analyze data within government systems. Experience using STATISTICSs and data VISUALIZATION techniques to provide an accessible way to see and…,"Fort Bragg, NC +1 location",NC,,,VISUALIZATION,
120,122,Data Analyst,Zillow,Be a strong partner with data engineering teams on the data ecosystem and an advocate for the requirements of data scientists and data VISUALIZATION engineers.,"Seattle, WA",WA,,,VISUALIZATION,
128,130,Data Scientist,OpenTable,Deep understanding of data structures and OO design. Our team is looking for someone passionate about ML with a strong background in Software…,"Los Angeles, CA +1 location",CA,,,ML,
159,161,Data Scientist,4ES Corporation,Present information using data VISUALIZATION techniques. Undertake preprocessing of structured and unstructured data. Combine models through ensemble modeling.,"Atlanta, GA",GA,,,VISUALIZATION,
164,166,Data Analyst,City of Philadelphia,"Write SQL queries for reporting, ETL, and general data analysis. Queries range in complexity depending on use case, but often require querying relational data.","Philadelphia, PA",PA,"$70,000 - $80,000 a year",,SQL,
170,172,Data Analyst,Deloitte,The Data Analyst will join a team responsible for developing advanced analytics products; applying data VISUALIZATION and STATISTICSal programming tools to…,"Alexandria, VA +1 location",VA,,,VISUALIZATION,
172,174,Data Scientist,Abbvie,"Expertise with developing, implementing and deploying ML and deep learning programs and computational solutions employing data science techniques.","Lake County, IL",IL,,,ML,
180,182,Data Engineer,FanDuel,Develop scalable solutions with the focus of productionizing data science team ML model portfolio. Effectively partner with applied data scientists and lay…,"Atlanta, GA",GA,,,ML,
183,185,Data Analyst,Surya Systems,"Write and edit SQL code to ensure data is pulled optimally. Serve as Subject Matter Expert (SME) for   BACHELOR  ness data, systems and processes under teams area of…","Blue Bell, PA",PA,,,SQL,BACHELOR
185,187,Data Scientist,"Two Sigma Investments, LLC.",Develop a deep understanding of the application of empirical methods and data science to challenging applied prediction problems. Proficient in PYTHON and SQL.,"New York, NY",NY,,,PYTHON,
190,192,Data Analyst,BAE Systems,Background in visualizing/presenting data for stakeholders and Knowledge of data VISUALIZATION tools. This position will provide the analyst with an opportunity…,"Korea, VA +5 locations",VA,,,VISUALIZATION,
191,193,Data Analyst,State Farm,Apply data VISUALIZATION techniques to support alignment and integration of data driven decisions with stakeholders across HR&D.,"Atlanta, GA",GA,,,VISUALIZATION,
197,199,Data Scientist,Great Hearts Academies,Proficiency in VISUALIZATION tools and packages; and in communicating data science topics to non-technical audience is a requirement.,"San Antonio, TX",TX,,,VISUALIZATION,
202,204,Data Scientist,"Shenandoah Growers, Inc.","  PHD  . (preferred) or M.S. degree in STATISTICSs, applied math, data science, or a related field. Lead VISUALIZATION creation to clearly communicate data and findings…","Washington, DC +4 locations",DC,"$80,000 - $115,000 a year",,VISUALIZATION,PHD
205,207,Data Engineer,Capgemini,"Good Knowledge of SQL Queries, PostgreSQL. Good Knowledge in writing Scripts Using R /PYTHON. VISUALIZATION, Creating Dataflows, Writing DAX and M -queries in Power…","Atlanta, GA +12 locations",GA,,,"R,SQL",
206,208,Data Analyst,FocusKPI Inc.,Ability to pull data writing complex SQL queries in different data sources. Perform data segmentation and aggregation from scratch.,"Mountain View, CA",CA,,,SQL,
207,209,Data Analyst,Fortna,"Proficiency with data VISUALIZATION tools such as VISUALIZATION or VISUALIZATION. Developing and supporting internal, data-related systems and processes.",United States,US National,,,VISUALIZATION,
208,210,Data Engineer,Deloitte,"5+ years data engineering, data management and transformation experience. Knowledge of data mining, ML, data VISUALIZATION and STATISTICSal…","Rosslyn, VA +2 locations",VA,,,VISUALIZATION,
210,212,Data Scientist,XL-Lead Consulting,"Ability to evaluate and interpret results of common data science models. 4 + years Data Science/Analytics experience with big data tools, ML and…","Houston, TX",TX,,,ML,
227,229,Data Analyst,Delphinus Engineering,"Interest in data analytics, data VISUALIZATION, and/or ML. Experience with PYTHON in the application of data analysis, data management and/or…","Philadelphia, PA",PA,,,PYTHON,
229,231,Data Analyst,WarnerMedia,"Training or experience in data science a plus. Experience with data VISUALIZATION modeling (Looker, VISUALIZATION, PowerBI) a plus.","Atlanta, GA",GA,,,VISUALIZATION,
232,234,Data Analyst,Facebook,"Experience manipulating large data sets in SQL or equivalent, and drawing actionable insights from data. Apply your expertise in quantitative analysis and data…","Seattle, WA +2 locations",WA,,,SQL,
233,235,Data Engineer,Microsoft,Automating data science and ML algorithms. Experience with big data technologies. We also offer many company-sponsored classes and conferences…,"Redmond, WA",WA,,,ML,
235,237,Data Scientist,Improvix Technologies,Strong data VISUALIZATION skills (VISUALIZATION preferred). Minimum of 3 years (5-7 years preferred) performing exploratory data analysis to understand the…,"Washington, DC",DC,,,VISUALIZATION,
259,261,Data Scientist,"VIZIO, Inc.",Build VISUALIZATIONs and other data VISUALIZATION tools. Have a minimum of three years’ experience developing and building data driven products.,"Denver, CO",CO,,,VISUALIZATION,
263,265,Data Scientist,Eventbrite,Fluency with ML and data mining techniques and concepts. Strong experience with data processing in PYTHON (>2 years).,"Nashville, TN",TN,,,"PYTHON,ML",
281,283,Data Scientist,UT Southwestern Medical Center,"For data scientists, the projects include assembling and STATISTICSal analyses of big clinical data, and application of ML and deep learning…","Dallas, TX",TX,"$60,000 - $90,000 a year",,ML,
289,291,Data Scientist,George Fox University - Staff and Administrator,"Demonstrated technical skills including SQL, PYTHON and data science li  BACHELOR  ies evidenced by experience working with complex data sets and managing data…","Newberg, OR",OR,,,PYTHON,BACHELOR
296,298,Data Analyst,Earnest,Create data pipelines and ETLs using SQL into Earnest's single source of truth data warehouse. Query and analyze large datasets to run data quality and…,California,CA,,,SQL,
297,299,Data Analyst,"Honda R&D Americas, Inc.",Experience with common data science toolkits such as R & PYTHON. Ensure data integrity through testing of results. Proficient using query languages such as SQL.,"Raymond, OH",OH,,,R,
320,322,Data Scientist,AvalonBay Communities,"Experience with data VISUALIZATION tools. Experience merging and analyzing large, diverse data sources. Provide data driven insights to Senior Management that…","Arlington, VA",VA,,,VISUALIZATION,
321,323,Data Analyst,Platform Science,"Apply your expertise in quantitative analysis, data VISUALIZATION and data-mining to create data alerts and derive actionable insights.",California,CA,,,VISUALIZATION,
